"filename", "language", "Go", "Markdown", "SQL", "Makefile", "Go Checksum File", "Go Module File", "YAML", "Docker", "JSON", "comment", "blank", "total"
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\report.go", "Go", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 55
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\schedule.go", "Go", 419, 0, 0, 0, 0, 0, 0, 0, 0, 212, 87, 718
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\specialty.go", "Go", 142, 0, 0, 0, 0, 0, 0, 0, 0, 86, 35, 263
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\student.go", "Go", 141, 0, 0, 0, 0, 0, 0, 0, 0, 75, 32, 248
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\teacher.go", "Go", 160, 0, 0, 0, 0, 0, 0, 0, 0, 86, 35, 281
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\university.go", "Go", 151, 0, 0, 0, 0, 0, 0, 0, 0, 82, 32, 265
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\users.go", "Go", 352, 0, 0, 0, 0, 0, 0, 0, 0, 154, 55, 561
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\validators.go", "Go", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 74
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\repository\attendance.go", "Go", 223, 0, 0, 0, 0, 0, 0, 0, 0, 16, 39, 278
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\repository\classroom.go", "Go", 87, 0, 0, 0, 0, 0, 0, 0, 0, 20, 29, 136
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\repository\departament.go", "Go", 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 232
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\repository\discipline.go", "Go", 179, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37, 220
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\repository\disciplinetype.go", "Go", 103, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29, 136
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\repository\educationlevel.go", "Go", 103, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29, 136
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\repository\educationtype.go", "Go", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 136
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\repository\faculty.go", "Go", 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 232
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\repository\group.go", "Go", 175, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37, 220
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\repository\headman.go", "Go", 147, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29, 180
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\repository\profile.go", "Go", 234, 0, 0, 0, 0, 0, 0, 0, 0, 12, 45, 291
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\repository\report.go", "Go", 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 158
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\repository\repository.go", "Go", 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 251
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\repository\schedule.go", "Go", 576, 0, 0, 0, 0, 0, 0, 0, 0, 1, 99, 676
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\repository\specialty.go", "Go", 179, 0, 0, 0, 0, 0, 0, 0, 0, 24, 37, 240
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\repository\student.go", "Go", 140, 0, 0, 0, 0, 0, 0, 0, 0, 24, 37, 201
